{52.22766 ,  22.661821		},
{281.89163 ,  318.52612       },
{305.87766 ,  318.58362       },
{330.0527 ,  318.58435        },
{354.15015 ,  318.5861        },
{378.27155 ,  318.6506        },
{402.43686 ,  318.60788       },
{426.59875 ,  318.88007       },
{450.55664 ,  318.58954       },
{474.94226 ,  319.10986       },
{498.9441 ,  318.44165        },
{523.23566 ,  319.33038       },
{547.4377 ,  318.2691         },
{571.5757 ,  319.89432        },
{67.736855 ,  341.04788       },
{91.31436 ,  342.34924        },
{115.40487 ,  341.09927       },
{138.87425 ,  342.31982       },
{162.745 ,  341.44278         },
{186.56677 ,  342.11752       },
{210.39053 ,  341.5401        },
{234.3335 ,  342.1365         },
{258.08575 ,  341.85422       },
{282.0154 ,  341.96295        },
{306.06207 ,  342.00302       },
{330.00763 ,  342.0226        },
{354.03415 ,  342.10837       },
{378.05945 ,  342.04434       },
{402.15976 ,  342.28238       },
{426.10907 ,  342.01218       },
{450.11606 ,  342.41605       },
{474.12488 ,  341.98022       },
{498.38028 ,  342.69604       },
{522.1852 ,  341.91116        },
{546.5147 ,  343.0437         },
{570.5159 ,  341.5958         },
{68.685036 ,  365.56946       },
{92.68053 ,  364.2049         },
{116.214836 ,  365.54382      },
{139.97998 ,  364.48755       },
{163.36414 ,  365.2649        },
{187.42383 ,  364.53317       },
{210.9049 ,  365.4213         },
{234.84215 ,  364.89014       },
{258.44394 ,  365.1934        },
{282.42148 ,  365.11798       },
{306.1201 ,  365.17593        },
{330.1686 ,  365.24725        },
{353.92282 ,  365.2688        },
{377.93002 ,  365.4509        },
{401.69635 ,  365.22708       },
{425.8259 ,  365.61414        },
{449.5818 ,  365.191          },
{473.72046 ,  365.79544       },
{497.5032 ,  365.2012         },
{521.52686 ,  366.05905       },
{545.29553 ,  364.88867       },
{569.644 ,  366.8257          },
{70.368225 ,  386.8158        },
{93.36926 ,  388.28015        },
{117.492325 ,  387.05463      },
{140.47829 ,  388.34924       },
{164.46341 ,  387.60617       },
{187.61383 ,  388.1577        },
{211.88622 ,  387.4935        },
{234.93881 ,  388.29077       },
{259.21487 ,  387.93817       },
{282.236 ,  388.21014         },
{306.63492 ,  388.1756        },
{329.7723 ,  388.3286         },
{354.1728 ,  388.2875         },
{377.34506 ,  388.27597       },
{401.85394 ,  388.53613       },
{424.90808 ,  388.1273        },
{449.46484 ,  388.70905       },
{472.65512 ,  388.16995       },
{497.21487 ,  388.82687       },
{520.2693 ,  388.05994        },
{544.7921 ,  389.3029         },
{568.2716 ,  387.57855        },
{70.912605 ,  411.20386       },
{95.195114 ,  409.71225       },
{117.68817 ,  411.02994       },
{142.0653 ,  410.10025        },
{164.50615 ,  410.7645        },
{189.3574 ,  410.28445        },
{211.49686 ,  411.07144       },
{236.3978 ,  410.62192        },
{258.3645 ,  410.93753        },
{283.6818 ,  410.78403        },
{305.75577 ,  410.98383       },
{330.7938 ,  411.00558        },
{353.04077 ,  411.0442        },
{378.3391 ,  411.28348        },
{400.44812 ,  410.99695       },
{425.70178 ,  411.53403       },
{447.88492 ,  411.12228       },
{473.2048 ,  411.7673         },
{495.47665 ,  410.9208        },
{520.5795 ,  411.89548        },
{543.0207 ,  410.74036        },
{567.93756 ,  412.58292       }
